Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,epsilon,k,nut,p,vtkValidPointMask
768,5.6536,0.500003,0.238604,5.68068,9.94775,0.00452977,-0.0102902,9.94776,7.69663,0.660872,0.282896,0.0108995,1.11311,1
769,5.66362,0.500003,0.238593,5.69065,9.9484,0.00448735,-0.0101456,9.94841,7.70665,0.656074,0.281356,0.01086,1.10782,1
770,5.67364,0.500003,0.238582,5.70062,9.94903,0.00444527,-0.00999899,9.94904,7.71667,0.65136,0.27984,0.0108211,1.10254,1
771,5.68366,0.500003,0.238571,5.7106,9.94967,0.00440319,-0.00985241,9.94967,7.72669,0.646646,0.278324,0.0107822,1.09726,1
772,5.69368,0.500003,0.23856,5.72057,9.9503,0.00436112,-0.00970583,9.95031,7.73671,0.641932,0.276807,0.0107432,1.09198,1
773,5.70371,0.500003,0.238549,5.73055,9.95091,0.00431976,-0.00957064,9.95091,7.74674,0.637299,0.275306,0.0107043,1.08672,1
774,5.71373,0.500003,0.238537,5.74052,9.9515,0.00427862,-0.00943264,9.95151,7.75676,0.632732,0.273825,0.0106659,1.08146,1
775,5.72375,0.500003,0.238526,5.7505,9.9521,0.00423747,-0.00929464,9.9521,7.76678,0.628166,0.272344,0.0106275,1.0762,1
776,5.73377,0.500003,0.238515,5.76047,9.9527,0.0041963,-0.00915856,9.9527,7.7768,0.623579,0.270855,0.0105889,1.07094,1
777,5.74379,0.500003,0.238504,5.77044,9.95326,0.00415589,-0.0090302,9.95327,7.78682,0.619124,0.269399,0.0105508,1.06568,1
778,5.75381,0.500003,0.238493,5.78042,9.95382,0.00411555,-0.00890021,9.95383,7.79684,0.6147,0.267951,0.0105129,1.06044,1
779,5.76384,0.500003,0.238482,5.7904,9.95438,0.00407522,-0.00877022,9.95439,7.80687,0.610276,0.266504,0.0104749,1.05519,1
780,5.77386,0.500003,0.238471,5.80037,9.95495,0.00403486,-0.00864443,9.95495,7.81689,0.605815,0.265044,0.0104367,1.04993,1
781,5.78388,0.500003,0.23846,5.81035,9.95547,0.00399523,-0.00852193,9.95548,7.82691,0.601528,0.263629,0.0103992,1.04469,1
782,5.7939,0.500003,0.238448,5.82032,9.956,0.0039556,-0.00839943,9.95601,7.83693,0.597241,0.262215,0.0103618,1.03944,1
